title,authors,journal,year,doi,pmid,source_query
Toxins in disguise: Neuropeptide mimicry across animal venoms.,"Koch TL, Safavi-Hemami H.",,2026,10.1016/j.ygcen.2026.114886,41554321,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Neonicotinoids can cause arrested ecdysis in Coleoptera.,"Jurenka R, Adeyanju OZ, Bradbury SP, Gorman C, Purtee S, Krishnan N.",,2026,10.1093/jee/toag244,42594057,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Transcriptomic investigation of agonistic behaviors of boxer shrimps (Stenopus species): insights into the potential neural signaling roles of dopamine and acetylcholine.,"Wong THH, Chow LH, Wu Z, Hui TKL, Tsang LM.",,2026,10.1186/s12864-026-12899-1,42104233,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Investigating Low-Temperature Stress Responses in Crustacea Aquatic Species Through Comparative Transcriptomics.,"Chen Y, Yan W, Xu T, Xu S, Zeng Q, Qu Z, Bao Z, Wang H.",,2026,10.1111/eva.70254,42131427,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Tissue-specific biochemical and molecular responses associated with red pigment-concentrating hormone gene knockdown in Litopenaeus vannamei.,"Feng L, Luo J, Zhou Y, Lu W, Huang Y, Gu Z, Jian J, Cai S, Yang S.",,2026,10.1016/j.cbpb.2026.111270,42607879,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Approach for Hemolymph Collection and Biochemical Profiling of Invasive Callinectes sapidus: Methodology and Physiological Assessment,,,2026,,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Duration-dependent effects of social isolation on reintegration behavior in the swarming soldier crab, Mictyris guinotae.","Yang R, Eto K, Nakano T, Gunji YP.",,2026,10.1371/journal.pone.0350642,42384653,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Clock-related neuropeptides in &lt;i&gt;Acyrthosiphon pisum&lt;/i&gt;.,"Colizzi FS, Liessem S, Morales-Poole JR, Martínez-Torres D, Helfrich-Förster C.",,2026,10.3389/fgene.2026.1818975,42369226,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
12-plex DiLeu enables robust quantification of the feeding neuropeptidome,"Fields L, Liu P, Tran VNH, Duong T, Ibarra AE, Corsetti P, Gao T, Selby KG, Wang Z, Lu Y, Lu H, Li L.",,2026,10.64898/2026.08.05.743115,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Benchmarking Spectral Library Prediction Platforms for Neuropeptidomics Applications,"Fields L, Hubecky EM, Selby KG, Li L.",,2026,10.64898/2026.08.07.743122,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
